year,leaid,lea_name,fips,state_leaid,street_mailing,city_mailing,state_mailing,zip_mailing,zip4_mailing,street_location,city_location,state_location,zip_location,zip4_location,phone,latitude,longitude,urban_centric_locale,cbsa,cbsa_type,csa,cmsa,necta,county_code,county_name,congress_district_id,bureau_indian_education,supervisory_union_number,agency_type,agency_level,boundary_change_indicator,agency_charter_indicator,lowest_grade_offered,highest_grade_offered,number_of_schools,enrollment,spec_ed_students,english_language_learners,migrant_students,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_fte,instructional_aides_fte,coordinators_fte,guidance_counselors_elem_fte,guidance_counselors_sec_fte,guidance_counselors_other_fte,guidance_counselors_total_fte,librarian_specialists_fte,librarian_support_staff_fte,lea_administrators_fte,lea_admin_support_staff_fte,school_administrators_fte,school_admin_support_staff_fte,support_staff_students_fte,support_staff_other_fte,staff_total_fte,lea_staff_total_fte,other_staff_fte,school_staff_total_fte,school_counselors_fte,state_leg_district_lower,state_leg_district_upper,school_psychologists_fte,support_staff_stu_wo_psych_fte
2023,0500062,KIPP DELTA PUBLIC SCHOOLS,5,AR-5440700,415 OHIO ST,HELENA,AR,72342,00,415 OHIO ST,HELENA,AR,72342,00,(870)753-9444,34.523158,-90.589191,33,-2,-2,-2,NA,NA,5107,Phillips County,501,NA,,7,4,1,NA,-1,12,5,1307,NA,NA,NA,3,7,52,82,5,150,36,2,1,7,NA,8,1,0,4,9,12,9,6,48,285,15,48,64.5,NA,05062,05009,0,6
2023,0500065,LAFAYETTE COUNTY SCHOOL DISTRICT,5,AR-3704000,P O BOX 950,LEWISVILLE,AR,71845,00,712 CHESTNUT ST,LEWISVILLE,AR,71845,00,(870)921-5500,33.36166,-93.578444,42,-2,-2,-2,NA,NA,5073,Lafayette County,504,NA,,1,4,1,NA,0,12,2,480,NA,NA,NA,0,2,22,42,0,68,21,3,1,1,NA,2,1,1,1,4,4,3,14,20,143,9,20,44.1,NA,05098,05003,0,14
2023,0500066,PHILLIPS COMMUNITY COLLEGE CAREER & TECHNICAL CENTER,5,AR-0122000,2807 HWY 165 S,STUTTGART,AR,72160,00,2807 HWY 165 S,STUTTGART,AR,72160,00,(870)673-4201,34.473034,-91.539749,41,-2,-2,-2,NA,NA,5001,Arkansas County,501,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05061,05010,NA,NA
2023,0500067,CLEVELAND COUNTY SCHOOL DISTRICT,5,AR-1305000,P O BOX 600,RISON,AR,71665,00,700 MAIN ST,RISON,AR,71665,00,(870)325-6344,33.954667,-92.187596,43,38220,2,340,NA,NA,5025,Cleveland County,504,NA,,1,4,1,NA,0,12,2,689,NA,NA,NA,5,3,28,18,4,60,35,0,1,1,NA,2,2,0,1,9,4,5,4,26,148,10,26,50,NA,05096,05001,0,4
2023,0500068,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,5,AR-1408000,P O BOX 129,EMERSON,AR,71740,00,508 W MAIN,Emerson,AR,71740,00,(870)547-2218,33.099026,-93.458329,42,31620,2,-2,NA,NA,5027,Columbia County,504,NA,,1,4,1,NA,0,12,6,1227,NA,NA,NA,0,8,53,55,5,122,23,4,1,1,NA,3,3,0,1,2,6,9,15,25,213,7,25,56.02,NA,05099,05003,0,15
2023,0500070,CEDAR RIDGE SCHOOL DISTRICT,5,AR-3212000,1502 N HILL ST,NEWARK,AR,72562,00,1502 N HILL ST,NEWARK,AR,72562,00,(870)799-8691,35.719505,-91.446303,42,12900,2,-2,NA,NA,5063,Independence County,501,NA,,1,4,1,NA,0,12,2,638,NA,NA,NA,0,3,28,64,3,99,28,2,1,2,NA,3,1,0,3,7,3,2,4,29,181,12,29,38.5,NA,05039,05022,0,4
2023,0500071,HILLCREST SCHOOL DISTRICT,5,AR-3809000,P O BOX 50,STRAWBERRY,AR,72469,00,146 S MAIN ST,STRAWBERRY,AR,72469,00,(870)528-3856,35.965189,-91.322402,43,-2,-2,-2,NA,NA,5075,Lawrence County,501,NA,,1,4,1,NA,0,12,2,404,NA,NA,NA,0,2,18,42,2,66,5,0,0,0,NA,1,1,0,2,3,3,4,2,8,95,5,8,15.5,NA,05028,05022,0,2
2023,0500072,DEER/MT. JUDEA SCHOOL DISTRICT,5,AR-5106000,P O BOX 56,DEER,AR,72628,00,HWY 61 PARKER RIDGE RD,DEER,AR,72628,00,(870)428-5433,35.825827,-93.208043,43,25460,2,-2,NA,NA,5101,Newton County,504,NA,,1,4,1,NA,0,12,2,332,NA,NA,NA,0,3,18,127,1,149,11,1,1,1,NA,2,0,0,1,3,2,6,8,13,199,5,13.5,28.25,NA,05027,05028,0,8
2023,0500073,OUACHITA RIVER SCHOOL DISTRICT,5,AR-5706000,143 POLK RD 96,MENA,AR,71953,00,143 POLK RD 96,MENA,AR,71953,00,(479)394-2348,34.637079,-94.206826,42,-2,-2,-2,NA,NA,5113,Polk County,504,NA,,1,4,1,NA,-1,12,3,758,NA,NA,NA,0,4,32,64,1,102,14,2,1,2,NA,3,1,0,1,6,2,5,12,17,171,9,17.9,37.02,NA,05086,05005,0,12.75
2023,0500074,LISA ACADEMY,5,AR-6041700,21 CORPORATE HILL DR,LITTLE ROCK,AR,72205,00,21 CORPORATE HILL DR,Little Rock,AR,72205,00,(501)227-4942,34.747367,-92.396063,12,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,7,4,1,NA,0,12,11,4015,NA,NA,NA,0,27,169,72,13,283,20,21,4,10,NA,15,2,1,12,28,28,29,35,73,550,62,73.5,115.86,NA,05077,05014,1,34.38
2023,0500075,EAST ARKANSAS CAREER CENTER,5,AR-6222000,1700 NEW CASTLE RD,FORREST CITY,AR,72335,00,1700 NEW CASTLE RD,FORRECT CITY,AR,72335,00,(870)633-4480,35.041617,-90.767771,32,22620,2,368,NA,NA,5123,St. Francis County,501,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05037,05010,NA,NA
2023,0500076,OZARK MOUNTAIN SCHOOL DISTRICT,5,AR-6505000,P O BOX 69,ST JOE,AR,72675,00,250 S HWY 65,ST JOE,AR,72675,00,(870)439-2213,36.028463,-92.798476,42,-2,-2,-2,NA,NA,5129,Searcy County,501,NA,,1,4,1,NA,0,12,4,521,NA,NA,NA,0,3,24,58,1,87,20,4,2,0,NA,2,2,0,2,5,3,4,12,22,165,11,22,42.25,NA,05027,05024,0,12.35
2023,0500078,HAAS HALL ACADEMY,5,AR-7240700,3155 N COLLEGE AVE STE 108,FAYETTEVILLE,AR,72730,00,3155 N COLLEGE AVE STE 108,FAYETTEVILLE,AR,72730,00,(479)267-4805,36.108703,-94.145933,13,22220,1,-2,NA,NA,5143,Washington County,503,NA,,7,3,1,NA,7,12,5,1422,NA,NA,NA,0,0,32,69,0,101,1,7,0,0,NA,0,1,1,3,1,4,12,6,6,144,11,6,26.39,NA,05020,05030,0,6.75
2023,0500079,TWO RIVERS SCHOOL DISTRICT,5,AR-7510000,17727 EAST STATE HWY 28,OLA,AR,72853,00,17727 EAST STATE HWY 28,OLA,AR,72853,00,(479)272-3113,35.01082,-93.2732,43,40780,2,-2,NA,NA,5149,Yell County,504,NA,,1,4,1,NA,-1,12,2,745,NA,NA,NA,5,3,30,43,8,91,25,3,0,1,NA,2,1,0,2,4,3,3,10,26,172,9,26,43.17,NA,05054,05005,0,10
2023,0500080,ARKANSAS NORTHEASTERN COLLEGE TECHNICAL CENTER,5,AR-4722000,P O BOX 36,BURDETTE,AR,72321,00,2501 S DIVISION ST,BLYTHEVILLE,AR,72315,00,(870)763-1486,35.895958,-89.921065,42,14180,2,-2,NA,NA,5093,Mississippi County,501,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05034,05019,NA,NA
2023,0500081,NORTHWEST ARKANSAS COMMUNITY COLLEGE REGIONAL CENTER,5,AR-7222000,2350 OLD FARMINGTON,FAYETTEVILLE,AR,72701,00,2350 OLD FARMINGTON,FAYETTEVILLE,AR,72701,00,(479)444-3058,36.056676,-94.192741,13,22220,1,-2,NA,NA,5143,Washington County,503,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05021,05030,NA,NA
2023,0500082,LAWRENCE COUNTY SCHOOL DISTRICT,5,AR-3810000,508 E FREE ST,WALNUT RIDGE,AR,72476,00,508 E FREE ST,WALNUT RIDGE,AR,72476,00,(870)886-6634,36.062893,-90.955259,32,-2,-2,-2,NA,NA,5075,Lawrence County,501,NA,,1,4,1,NA,0,12,2,1023,NA,NA,NA,3,5,36,46,5,97,23,1,1,1,NA,3,3,0,1,7,2,3,9,20,171,9,20,41.44,NA,05030,05021,0,9
2023,0500389,DHS DIVISION OF DEVELOPMENTAL DISABILITIES SERVICES,5,AR-6095000,P O BOX 1437 SLOT N504,LITTLE ROCK,AR,72201,00,701 MAIN ST,LITTLE ROCK,AR,72201,00,(501)628-8668,34.741916,-92.271912,12,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,5,3,1,NA,9,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05074,05014,NA,NA
2023,0500390,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,5,AR-6094000,P O BOX 1437 SLOT 503,LITTLE ROCK,AR,72203,00,701 MAIN ST,LITTLE ROCK,AR,72203,00,(501)682-1711,34.741916,-92.271912,12,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,5,3,1,NA,6,12,5,239,NA,NA,NA,0,0,3,18,5,26,0,1,0,1,NA,1,0,0,0,0,5,1,0,0,34,1,0,6,NA,05074,05014,0,0
2023,0500394,ARKANSAS VIRTUAL ACADEMY,5,AR-6043700,10802 EXECUTIVE CTR DR STE 205,LITTLE ROCK,AR,72211,00,10802 EXECUTIVE CTR DR STE 205,LITTLE ROCK,AR,72211,00,(501)664-4225,34.743027,-92.279605,12,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,7,4,1,NA,0,12,3,3936,NA,NA,NA,0,3,53,204,14,275,0,3,1,6,NA,7,0,0,8,9,13,3,0,0,319,20,0,16.5,NA,05074,05014,0,0
2023,0500398,ESTEM PUBLIC CHARTER SCHOOL,5,AR-6047700,112 W 3RD ST LEVEL 3,LITTLE ROCK,AR,72201,00,112 W 3RD ST LEVEL 3,LITTLE ROCK,AR,72201,00,(501)374-7836,34.745887,-92.266116,12,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,7,4,1,NA,0,12,5,2739,NA,NA,NA,0,13,102,69,15,200,20,12,5,5,NA,10,0,0,4,18,16,12,37,3,334,35,3,85.95,NA,05074,05012,0,37
2023,0500402,ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,5,AR-6050700,251 N FIRST ST,LITTLE ROCK,AR,72076,00,251 N FIRST ST,LITTLE ROCK,AR,72076,00,(501)985-1200,34.868155,-92.108812,21,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,7,4,1,NA,0,12,3,434,NA,NA,NA,1,2,26,17,1,49,11,5,1,0,NA,1,0,0,1,3,3,8,16,51,148,9,51,38.5,NA,05066,05012,1,15.5
2023,0500405,COSSATOT RIVER SCHOOL DISTRICT,5,AR-5707000,130 SCHOOL DR,WICKES,AR,71973,00,130 SCHOOL DR,WICKES,AR,71973,00,(870)385-7101,34.29803,-94.336508,43,-2,-2,-2,NA,NA,5113,Polk County,504,NA,,1,4,1,NA,-1,12,4,869,NA,NA,NA,0,4,40,39,2,87,28,2,2,2,NA,4,3,0,1,5,4,4,25,26,191,9,26,64.5,NA,05086,05005,0,25
2023,0500407,GRADUATE ARKANSAS  CHARTER,5,AR-6052700,6900 SCOTT HAMILTON RD,LITTLE ROCK,AR,72209,00,6900 SCOTT HAMILTON RD,LITTLE ROCK,AR,72209,00,(501)618-2500,34.687069,-92.308361,12,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,7,3,1,NA,9,12,1,490,NA,NA,NA,0,0,0,11,0,11,3,2,0,0,NA,0,0,0,2,0,2,5,4,0,29,4,0,14,NA,05080,05012,0,4
2023,0500408,PREMIER HIGH SCHOOLS OF ARKANSAS,5,AR-6053700,1621 Dr. Martin Luther King Dr,Little Rock,AR,72206,00,1621 DR. MARTIN LUTHER KING DR,Little Rock,AR,72206,00,(501)400-4873,34.734999,-92.289956,12,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,7,3,1,NA,9,12,4,534,NA,NA,NA,0,0,0,61,0,61,7,2,0,0,NA,0,0,0,1,2,4,9,2,1,89,5,1,22.25,NA,05076,05012,0,2
2023,0500409,FOUNDERS CLASSICAL ACADEMIES OF ARKANSAS,5,AR-0442700,1300 MELISSA DR STE 216,BENTONVILLE,AR,72712,00,1300 MELISSA DR STE 216,BENTONVILLE,AR,72712,00,(479)715-6662,36.361985,-94.228119,13,22220,1,-2,NA,NA,5007,Benton County,503,NA,,7,4,1,NA,-1,12,7,1719,NA,NA,NA,0,15,81,32,2,131,14,2,0,0,NA,0,0,0,3,6,3,6,11,4,181,11,4,34.5,NA,05010,05034,0,11
2023,0500411,EXALT ACADEMY OF SOUTHWEST LITTLE ROCK,5,AR-6055700,6111 W 83RD ST,LITTLE ROCK,AR,72209,00,6111 W 83RD ST,LITTLE ROCK,AR,72209,00,(501)568-3286,34.674032,-92.345821,12,30780,1,340,NA,NA,5119,Pulaski County,504,NA,,7,1,1,NA,0,8,1,749,NA,NA,NA,0,7,57,0,0,65,18,4,0,0,NA,0,0,0,1,0,1,4,2,2,101,6,2.2,27.27,NA,05079,05015,0,2.91
2023,0500417,ARKANSAS CONNECTIONS ACADEMY,5,AR-0444700,1009 BEAU TERRE DR BLDG O,BENTONVILLE,AR,72712,00,1009 BEAU TERRE DR BLDG O,BENTONVILLE,AR,72712,00,(501)386-3419,36.383173,-94.170616,13,22220,1,-2,NA,NA,5007,Benton County,503,NA,,7,4,1,NA,0,12,1,3804,NA,NA,NA,0,2,36,43,2,85,0,51,5,1,NA,6,0,0,1,0,4,7,0,0,154,52,0,11,NA,05008,05032,0,0
2023,0500418,FUTURE SCHOOL OF FORT SMITH,5,AR-6640700,622 N 7TH ST,FORT SMITH,AR,72917,00,622 N 7TH ST,FORT SMITH,AR,72917,00,(479)431-8695,35.391497,-94.419365,13,22900,1,-2,NA,NA,5131,Sebastian County,503,NA,,7,3,1,NA,9,12,1,219,NA,NA,NA,0,0,0,48,0,48,5,2,0,1,NA,1,0,0,1,3,3,5,5,4,77,6,4,18,NA,05049,05027,0,5
2023,0500419,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,5,AR-6004000,1414 W MAIN,JACKSONVILLE,AR,72076,00,1414 W MAIN,JACKSONVILLE,AR,72076,00,(501)241-2080,34.868322,-92.12511,21,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,1,4,1,NA,-1,12,7,4451,NA,NA,NA,15,22,158,109,16,321,57,13,7,7,NA,14,6,0,5,22,23,12,120,97,692,40,97.5,218.67,NA,05067,05011,2,118.17
2023,0500420,THE EXCEL CENTER,5,AR-6058700,7400 SCOTT HAMILTON RD,LITTLE ROCK,AR,72209,00,7400 SCOTT HAMILTON RD,LITTLE ROCK,AR,72209,00,(501)372-5100,34.68375,-92.323315,12,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,7,5,1,NA,15,15,2,222,NA,NA,NA,1,0,0,11,0,12,4,0,0,0,NA,0,0,0,0,0,2,3,23,1,45,0,1,32,NA,05079,05015,0,23
2023,0500421,SCHOLARMADE ACHIEVEMENT PLACE OF ARKANSAS,5,AR-6060700,2410 S BATTERY ST,LITTLE ROCK,AR,72206,00,2410 S BATTERY ST,LITTLE ROCK,AR,72206,00,(501)404-0012,34.726001,-92.2948,12,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,7,1,1,NA,0,8,1,346,NA,NA,NA,0,2,21,0,0,23,0,6,0,0,NA,0,0,0,2,1,3,3,6,9,53,9,9,12,NA,05076,05012,0,6
2023,0500423,FRIENDSHIP ASPIRE ACADEMIES ARKANSAS,5,AR-3544700,3911 S HAZEL ST,PINE BLUFF,AR,71603,00,3911 S HAZEL ST,PINE BLUFF,AR,71603,00,(833)277-4731,34.189563,-92.022917,32,38220,2,340,NA,NA,5069,Jefferson County,504,NA,,7,4,1,NA,0,9,7,1307,NA,NA,NA,0,11,70,4,0,86,10,11,2,0,NA,3,1,0,2,1,10,11,9,15,161,14,15,42.5,NA,05064,05008,0,9.5
2023,0500425,RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL N LITTLE ROCK,5,AR-6062700,400 HARDIN RD,LITTLE ROCK,AR,72211,00,400 HARDIN RD,LITTLE ROCK,AR,72211,00,(501)263-1701,34.781136,-92.274917,13,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,7,3,1,NA,9,12,1,90,NA,NA,NA,0,0,0,12,1,13,2,1,0,0,NA,0,0,0,1,0,1,2,1,0,21,2,0,6,NA,05072,05012,0,1
2023,0500426,HOPE ACADEMY OF NORTHWEST ARKANSAS,5,AR-0445700,14100 Vaughn Rd.,BENTONVILLE,AR,72713,00,14100 Vaughn Rd.,BENTONVILLE,AR,72713,00,(479)795-2417,36.3173,-94.344193,41,22220,1,-2,NA,NA,5007,Benton County,503,NA,,7,1,1,NA,0,5,1,26,NA,NA,NA,0,1,5,1,0,8,12,0,1,0,NA,1,0,0,0,1,3,1,1,0,27,1,0,17,NA,05014,05033,0,1
2023,0500428,ASU - MOUNTAIN HOME CAREER CENTER,5,AR-0322000,1600 South College St,MOUNTAIN HOME,AR,72653,00,1600 South College St,MOUNTAIN HOME,AR,72653,00,(870)508-6100,36.320456,-92.388595,33,34260,2,-2,NA,NA,5005,Baxter County,501,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05003,05023,NA,NA
2023,0500429,UACCM TECHNICAL CENTER,5,AR-1522000,1537 University Blvd,MORRILTON,AR,72110,00,1537 University Blvd.,MORRILTON,AR,72210,00,(501)954-2465,35.172021,-92.729549,32,-2,-2,-2,NA,NA,5029,Conway County,502,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05043,05025,NA,NA
2023,0500430,UA HOPE TEXARKANA TECHNICAL CENTER,5,AR-2922000,2500 South Main,Hope,AR,71801,00,2500 South Main,Hope,AR,71801,00,(870)777-5722,33.64103,-93.596413,32,-2,-2,-2,NA,NA,5057,Hempstead County,504,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05088,05003,NA,NA
2023,0500431,UACCB TECHNICAL CENTER,5,AR-3222000,2005 White Drive,Batesville,AR,72501,00,2005 White Drive,Batesville,AR,72501,00,(870)612-2000,35.79341,-91.616638,33,12900,2,-2,NA,NA,5063,Independence County,501,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05040,05022,NA,NA
2023,0500432,OZARKA COLLEGE TECHNICAL CENTER,5,AR-3322000,218 COLLEGE DRIVE,MELBOURNE,AR,72556,00,218 COLLEGE DRIVE,MELBOURNE,AR,72556,00,(870)368-7371,36.0532,-91.896343,43,-2,-2,-2,NA,NA,5065,Izard County,501,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05027,05023,NA,NA
2023,0500433,ASU NEWPORT SEC CAREER CENTER (IGNITE),5,AR-3422000,7648 Victory Blvd,NEWPORT,AR,72112,00,7648 Victory Blvd,NEWPORT,AR,72112,00,(870)512-7825,35.640504,-91.190576,41,-2,-2,-2,NA,NA,5067,Jackson County,501,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05039,05010,NA,NA
2023,0500434,JEFFERSON AREA CAREER CENTER,5,AR-3522000,912 West 6th Avenue,PINE BLUFF,AR,71601,00,912 West 6th Avenue,PINE BLUFF,AR,71601,00,(870)534-6129,34.211583,-92.028376,32,38220,2,340,NA,NA,5069,Jefferson County,504,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05064,05008,NA,NA
2023,0500435,UA RICH MOUNTAIN TECHNICAL CENTER,5,AR-5722000,1100 College Drive,Mena,AR,71953,00,1100 College Drive,Mena,AR,71953,00,(479)394-7622,34.59119,-94.220161,33,-2,-2,-2,NA,NA,5113,Polk County,504,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05086,05005,NA,NA
2023,0500436,ARK TECH UNIVERISTY CAREER CENTER,5,AR-5822000,215 West O Street,RUSSELLVILLE,AR,72801,00,215 West O Street,RUSSELLVILLE,AR,72801,00,(844)804-2628,35.25782,-93.116734,33,40780,2,-2,NA,NA,5115,Pope County,504,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05053,05025,NA,NA
2023,0500437,BLACK RIVER TECHNICAL COLLEGE,5,AR-6122000,1410 Highway 304 East,POCAHONTAS,AR,72455,00,1410 Highway 304 East,POCAHONTAS,AR,72455,00,(870)248-4000,36.239839,-90.951158,32,-2,-2,-2,NA,NA,5121,Randolph County,501,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05002,05021,NA,NA
2023,0500438,COSSATOT COMMUNITY COLLEGE OF THE UA,5,AR-6722000,183 College Drive,Dequeen,AR,71832,00,183 College Drive,Dequeen,AR,71832,00,(870)584-4471,34.043368,-94.36724,33,-2,-2,-2,NA,NA,5133,Sevier County,504,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05087,05004,NA,NA
2023,0500439,MID SOUTH COMMUNITY COLLEGE,5,AR-1822000,2000 W BROADWAY,WEST MEMPHIS,AR,72301,00,2000 W BROADWAY,WEST MEMPHIS,AR,72301,00,(870)733-6722,35.145384,-90.222865,21,32820,1,368,NA,NA,5035,Crittenden County,501,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05063,05009,NA,NA
2023,0500440,WESTWIND SCHOOL FOR PERFORMING ARTS,5,AR-6063700,7318 WINDSONG DRIVE,NORTH LITTLE ROCK,AR,72113,00,7318 WINDSONG DRIVE,NORTH LITTLE ROCK,AR,72113,00,(501)621-5300,34.823034,-92.347151,41,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,7,2,1,NA,6,8,1,89,NA,NA,NA,0,0,7,0,0,8,0,0,0,1,NA,1,0,0,1,0,1,0,0,0,12,1,0,2,NA,05071,05012,0,0.5
2023,0500441,RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF SPRINGDALE,5,AR-7242700,693 WHITE ROAD,SPRINGDALE,AR,72762,00,693 WHITE ROAD,SPRINGDALE,AR,72762,00,(479)343-8209,36.191552,-94.164674,13,22220,1,-2,NA,NA,5143,Washington County,503,NA,,7,3,1,NA,9,12,1,73,NA,NA,NA,0,0,0,6,0,7,2,0,0,0,NA,0,0,0,1,1,1,0,1,0,13,2,0,4,NA,05018,05031,0,1
2023,0502250,ALMA SCHOOL DISTRICT,5,AR-1701000,P O BOX 2359,ALMA,AR,72921,00,916 HWY 64 E,ALMA,AR,72921,00,(479)632-4791,35.489719,-94.21108,22,22900,1,-2,NA,NA,5033,Crawford County,503,NA,,1,4,1,NA,0,12,4,3093,NA,NA,NA,0,14,105,103,9,232,51,6,2,4,NA,7,4,3,4,18,9,12,47,77,472,28,77,126.55,NA,05024,05029,1,46
2023,0502280,ALPENA SCHOOL DISTRICT,5,AR-0501000,P O BOX 270,ALPENA,AR,72611,00,300 S DENVER,ALPENA,AR,72611,00,(870)437-2220,36.291416,-93.29511,42,25460,2,-2,NA,NA,5009,Boone County,501,NA,,1,4,1,NA,0,12,2,409,NA,NA,NA,0,1,17,70,3,92,8,1,0,0,NA,1,1,0,1,4,3,2,8,8,129,6,8,22,NA,05005,05028,0,8
2023,0502430,ARKADELPHIA SCHOOL DISTRICT,5,AR-1002000,P. O. Box 10,ARKADELPHIA,AR,71923,00,700 Clinton Street Bldg. 3,ARKADELPHIA,AR,71923,00,(870)246-5563,34.120516,-93.054877,41,11660,2,-2,NA,NA,5019,Clark County,504,NA,,1,4,1,NA,0,12,4,1812,NA,NA,NA,0,8,64,77,15,166,22,3,2,3,NA,5,4,0,4,6,7,10,9,36,274,13,36,53.49,NA,05090,05003,0,9.5
2023,0502550,ARMOREL SCHOOL DISTRICT,5,AR-4701000,P O BOX 99,ARMOREL,AR,72310,00,4555 N HWY 137,ARMOREL,AR,72310,00,(870)763-6639,35.91665,-89.80028,42,14180,2,-2,NA,NA,5093,Mississippi County,501,NA,,1,4,1,NA,0,12,2,395,NA,NA,NA,0,2,20,27,1,51,8,3,0,1,NA,1,0,0,1,7,2,3,6,2,86,11,2,20.25,NA,05034,05019,0,6
2023,0502580,ASHDOWN SCHOOL DISTRICT,5,AR-4101000,751 RANKIN STREET,ASHDOWN,AR,71822,00,751 RANKIN STREET,ASHDOWN,AR,71822,00,(870)898-3208,33.671376,-94.121161,42,45500,1,-2,NA,NA,5081,Little River County,504,NA,,1,4,1,NA,0,12,3,1287,NA,NA,NA,0,6,43,44,8,104,27,5,2,2,NA,4,3,0,2,7,6,7,14,37,217,14,37.5,57,NA,05087,05004,0,14
2023,0502610,ATKINS SCHOOL DISTRICT,5,AR-5801000,307 N CHURCH ST,ATKINS,AR,72823,00,307 N CHURCH,ATKINS,AR,72823,00,(479)641-7871,35.244891,-92.938086,42,40780,2,-2,NA,NA,5115,Pope County,504,NA,,1,4,1,NA,0,12,3,927,NA,NA,NA,2,3,40,67,10,123,20,1,1,2,NA,3,3,0,1,3,3,6,13,28,206,6,28,45.71,NA,05044,05025,0,13.5
